Title,Brand,MRP,Price,Count of Ratings,Count of Reviews,Average Rating Score,Product URL,Image URL
TCL 55P635 Pro 140 cm (55 inch) 4K Ultra HD LED Android TV with Google Assistant,TCL,48990,79990,0,0,0.0,https://www.croma.com/tcl-55p635-pro-140-cm-55-inch-4k-ultra-hd-led-android-tv-with-google-assistant/p/272263,https://media.croma.com/image/upload/v1689153352/Croma%20Assets/Entertainment/Television/Images/272263_0_obakn2.png
LG G2 164 cm (65 inch) 4K Ultra HD OLED WebOS TV with Voice Assistance (2022 model),LG,252990,399990,1,1,5.0,https://www.croma.com/lg-g2-164-cm-65-inch-4k-ultra-hd-oled-webos-tv-with-voice-assistance-2022-model-/p/258426,https://media.croma.com/image/upload/v1683561885/Croma%20Assets/Entertainment/Television/Images/258426_0_fbqy0o.png
LG UR80 177 cm (70 inch) 4K Ultra HD LED WebOS TV with α7 AI Processor 4K Gen6,LG,107990,164990,0,0,0.0,https://www.croma.com/lg-ur80-177-cm-70-inch-4k-ultra-hd-led-webos-tv-with-%ce%b17-ai-processor-4k-gen6/p/273715,https://media.croma.com/image/upload/v1689334139/Croma%20Assets/Entertainment/Television/Images/273715_0_hiojvk.png
LG UR80 139 cm (55 inch) 4K Ultra HD LED WebOS TV with α7 AI Processor 4K Gen6,LG,63890,84990,0,0,0.0,https://www.croma.com/lg-ur80-139-cm-55-inch-4k-ultra-hd-led-webos-tv-with-%ce%b17-ai-processor-4k-gen6/p/273717,https://media.croma.com/image/upload/v1689334204/Croma%20Assets/Entertainment/Television/Images/273717_0_vlbtdg.png
SAMSUNG Series 7 178 cm (70 inch) 4K Ultra HD LED Tizen TV with Alexa Compatibility,Samsung,99990,154900,7,8,4.875,https://www.croma.com/samsung-series-7-178-cm-70-inch-4k-ultra-hd-led-tizen-tv-with-alexa-compatibility/p/234619,https://media.croma.com/image/upload/v1663785268/Croma%20Assets/Entertainment/Television/Images/234619_0_bzgywj.png
SAMSUNG 8 Series 125 cm (50 inch) 4K Ultra HD LED Tizen TV with Bezel-less Display,Samsung,56990,69900,0,0,0.0,https://www.croma.com/samsung-8-series-125-cm-50-inch-4k-ultra-hd-led-tizen-tv-with-bezel-less-display/p/271803,https://media.croma.com/image/upload/v1688579730/Croma%20Assets/Entertainment/Television/Images/271803_0_iijdw0.png
SAMSUNG Series 9 247 cm (98 inch) QLED 4K Ultra HD Tizen TV with Alexa Compatibility,Samsung,1574000,2299000,0,0,0.0,https://www.croma.com/samsung-series-9-247-cm-98-inch-qled-4k-ultra-hd-tizen-tv-with-alexa-compatibility/p/245102,https://media.croma.com/image/upload/v1663781787/Croma%20Assets/Entertainment/Television/Images/245102_0_jeuepj.png
SAMSUNG Crystal 4K Pro 163 cm (65 inch) 4K Ultra HD LED Tizen TV with Alexa Compatibility (2021 model),Samsung,81990,125900,0,0,0.0,https://www.croma.com/samsung-crystal-4k-pro-163-cm-65-inch-4k-ultra-hd-led-tizen-tv-with-alexa-compatibility-2021-model-/p/250636,https://media.croma.com/image/upload/v1663786105/Croma%20Assets/Entertainment/Television/Images/250636_0_o91blm.png
LG UQ73 108 cm (43 inch) 4K Ultra HD LED WebOS TV with Gen5 AI Processor,LG,37990,58990,0,0,0.0,https://www.croma.com/lg-uq73-108-cm-43-inch-4k-ultra-hd-led-webos-tv-with-gen5-ai-processor/p/273616,https://media.croma.com/image/upload/v1685514306/Croma%20Assets/Entertainment/Television/Images/273616_rdhbax.png
SONY X64L 108 cm (43 inch) 4K Ultra HD LED Google TV with 4K Processor X1 (2023 Model),Sony,42990,59900,0,0,0.0,https://www.croma.com/sony-x64l-108-cm-43-inch-4k-ultra-hd-led-google-tv-with-4k-processor-x1-2023-model-/p/273157,https://media.croma.com/image/upload/v1690178519/Croma%20Assets/Entertainment/Television/Images/273157_tzzivv.png
SAMSUNG 8 Series 108 cm (43 inch) 4K Ultra HD LED Tizen TV with Adaptive Sound,Samsung,47990,54900,0,0,0.0,https://www.croma.com/samsung-8-series-108-cm-43-inch-4k-ultra-hd-led-tizen-tv-with-adaptive-sound/p/272003,https://media.croma.com/image/upload/v1681470688/Croma%20Assets/Entertainment/Television/Images/272003_mvcxdt.png
